imagePath,labelId
Tomato___Spider_mites Two-spotted_spider_mite\e9ebac68-514a-4322-b886-1fea2e69c56e___Com.G_SpM_FL 8999.JPG,33
Soybean___healthy\6f080647-3f64-4632-b54c-3153c374f175___RS_HL 7446.JPG,24
Potato___Early_blight\b7157976-61c2-4366-87c5-e3de23aa7c10___RS_Early.B 7227.JPG,20
Tomato___Late_blight\7fe35989-ae3c-4652-931f-820e2cdb7c96___RS_Late.B 6876.JPG,30
"Pepper,_bell___healthy\5ff24f92-0f5c-4702-b467-e4010a88ae54___JR_HL 7560.JPG",19
Tomato___Tomato_Yellow_Leaf_Curl_Virus\82c21b38-9e24-4447-8f91-318d04cb67e8___YLCV_NREC 2540.JPG,35
Grape___Esca_(Black_Measles)\9ef372e7-0590-426f-abfb-e8a119224df5___FAM_B.Msls 1236.JPG,12
Blueberry___healthy\1523c744-57a9-486f-8c4f-67355109437c___RS_HL 5382.JPG,4
Potato___Late_blight\82967117-2bcc-4949-b060-738e7b66b755___RS_LB 4744.JPG,21
Blueberry___healthy\e082fc8e-8416-4802-bd42-a238c73deb70___RS_HL 2381.JPG,4
Tomato___Tomato_Yellow_Leaf_Curl_Virus\0b0a09a1-7e13-44e5-ab27-2e8f3ca3d605___UF.GRC_YLCV_Lab 02968.JPG,35
Apple___Black_rot\451b68a6-1b39-40c5-8669-f82af6de1eed___JR_FrgE.S 8737.JPG,1
Tomato___Tomato_mosaic_virus\388f46e3-32d3-45f3-84fd-12cb06feed12___PSU_CG 2119.JPG,36
Orange___Haunglongbing_(Citrus_greening)\319f79ff-f497-44e3-b126-5b692a83dc7f___CREC_HLB 4063.JPG,15
Tomato___Leaf_Mold\bb64a6b2-b479-4cff-a101-7d0d98ac62c9___Crnl_L.Mold 9183.JPG,31
"Pepper,_bell___healthy\f9c0c883-e492-417c-94ac-f57bd6db1b78___JR_HL 8480.JPG",19
Grape___Black_rot\4d7a3011-3007-4854-8d1a-12bb807073db___FAM_B.Rot 3283.JPG,11
Tomato___Spider_mites Two-spotted_spider_mite\3046afbf-4a9a-41fb-a64f-3f9e75af08e7___Com.G_SpM_FL 1623.JPG,33
Blueberry___healthy\9f2b853f-9e38-4867-a083-13222abdf778___RS_HL 5312.JPG,4
"Pepper,_bell___Bacterial_spot\51185964-48e2-493e-a052-42139dd0facd___JR_B.Spot 3331.JPG",18
Tomato___Bacterial_spot\b77be1e3-a6c2-44a9-848c-409fbf071e2c___GCREC_Bact.Sp 3824.JPG,28
Apple___healthy\1cf4ad6b-8c00-42de-aff0-ee2662c54df1___RS_HL 7462.JPG,3
Tomato___Tomato_Yellow_Leaf_Curl_Virus\3f5fc513-d7bb-49ba-aa11-bf01f36fa977___YLCV_GCREC 2061.JPG,35
Squash___Powdery_mildew\1054d080-3ffe-4abb-897a-78721c944ed9___UMD_Powd.M 0097.JPG,25
Corn_(maize)___Common_rust_\RS_Rust 2557.JPG,8
Orange___Haunglongbing_(Citrus_greening)\d964dc38-b3c7-49fd-a6ec-ba484e0a9085___CREC_HLB 5387.JPG,15
Tomato___Leaf_Mold\b0171eb9-e9c4-4d17-8f39-e748361fdfba___Crnl_L.Mold 8828.JPG,31
Soybean___healthy\bff703d3-f56e-409e-b3ae-4ad6876ebb26___RS_HL 4515.JPG,24
Tomato___Tomato_mosaic_virus\8a000704-8eda-40bd-b07d-d04634d4fe72___PSU_CG 2238.JPG,36
Peach___Bacterial_spot\c1f9fb0e-86e1-4ebe-8379-ddad082b900a___Rutg._Bact.S 2152.JPG,16
Soybean___healthy\4292b1ba-6e85-48ac-900d-01ccb1b86abf___RS_HL 6255.JPG,24
Peach___Bacterial_spot\90e98b44-5c6c-4436-aaeb-7271b4c094c4___Rutg._Bact.S 1266.JPG,16
Soybean___healthy\39482a7a-7543-4b4f-a009-e2646ec5ceec___RS_HL 4724.JPG,24
Peach___healthy\95f38d4e-5e8d-4b72-ac83-bd7e794a3093___Rutg._HL 2498.JPG,17
Grape___Black_rot\b77d2839-25ab-416a-98d5-3179ad212e74___FAM_B.Rot 3334.JPG,11
Tomato___Tomato_Yellow_Leaf_Curl_Virus\f5b223a1-d753-41a3-ae94-a97a93614d80___UF.GRC_YLCV_Lab 01990.JPG,35
Orange___Haunglongbing_(Citrus_greening)\94921364-7214-44b4-bcf3-fd8fc2cc5573___UF.Citrus_HLB_Lab 9998.JPG,15
Tomato___Late_blight\39535fa7-1b38-4828-9294-da1c24aa33ef___RS_Late.B 6901.JPG,30
Grape___Black_rot\92a65dc4-5eb4-4c43-b6fa-ef20d29b8791___FAM_B.Rot 3369.JPG,11
Tomato___Early_blight\efb0d54f-53c7-4a6a-a194-2bd449799c8c___RS_Erly.B 7726.JPG,29
Orange___Haunglongbing_(Citrus_greening)\33e3535f-90fc-4e4b-b8fb-2ce314b3f4b8___UF.Citrus_HLB_Lab 0617.JPG,15
Soybean___healthy\e88127ad-b59d-44d4-a1bc-3bccbe12bc8d___RS_HL 3979.JPG,24
Tomato___Late_blight\397a3ca2-cc7b-496e-af81-394270be3d61___GHLB2 Leaf 73.1.JPG,30
